,state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,rep_cand_link,dem_cand_link,third_cand_link
13,NE,NE-SD-15,D,Tilt,David Rogers,Lynne Walz,D,,,56.2172334563,D,31015,SD,,https://ballotpedia.org/David_Rogers_(North_Carolina),,
14,TX,TX-HD-138,D,Lean,Lacey Hull,Akilah Bacy,Open,,,53.4312662477889,D,48138,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_138,https://www.laceyhull.com/,https://www.akilahbacy.com/,
15,NE,NE-SD-31,Open,Toss-Up,Rich Pauls,Tim Royers,Open,,,49.19262488510080,D,31031,SD,,,,
16,KS,KS-HD-96,Open,Toss-Up,Tom Kessler,Stephanie Yeager,D,,,48.378546768354,D,20096,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_96,https://tomkessler4kansas.com/index.php,https://www.yeagerforkansas.com/,
17,NE,NE-SD-45,Open,Toss-Up,Rita Sanders,Susan Hester,Open,,,47.749447107062,D,31045,SD,,,,
18,TX,TX-HD-132,D,Tilt,Mike Schofield,Gina Calanni,D,,,46.9869419165401,D,48132,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_132,https://www.mikeschofield.com/,https://www.ginacalanni.com/,
19,KS,KS-HD-48,Open,Toss-Up,Terry Frederick,Jennifer Day,D,,,42.306081738744200,D,20048,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_48,http://terryfrederickforkansas.com/,http://jendayforkansas.com/,
20,TX,TX-HD-93,R,Likely,Matt Krause,Lydia Bean,R,,,40.829272160381000,D,48093,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_93,https://www.mattkrause.org/,https://www.lydiabeanfortexas.com/,
21,KS,KS-HD-15,R,Tilt,John Toplikar,Cole Fine,R,,,39.682879943892000,D,20015,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_15,https://ballotpedia.org/John_Toplikar,https://www.fineforkansas.com/,
22,KS,KS-HD-17,D,Tilt,Kristine Sapp,Jo Ella Hoye,Open,,,38.593556520068800,D,20017,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_17,https://www.kristineforkansas.com/,https://joellaforkansas.com/,
23,KS,KS-HD-72,D,Tilt,Avery Anderson,Tim Hodge,D,,,38.263612893890800,D,20072,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_72,https://andersonforks.com/,https://timhodgeks.com/,
24,KS,KS-HD-98,R,Tilt,Ron Howard,Steven Crum,R,,,38.2518934271421,D,20098,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_98,https://ballotpedia.org/Ron_Howard,http://crumforkansas.com/index.html,
25,NE,NE-SD-3,D,Lean,Rick Holdcroft,Carol Blood,D,,,37.9338440904414,D,31003,SD,,,,
26,MN,MN-SD-58,Open,Toss-Up,Zach Duckworth,Matt Little,D,,,37.5616164391885,R,27058,SD,https://ballotpedia.org/Minnesota_State_Senate_District_58,https://www.voteduckworth.com/,https://votelittle.com/,
27,MN,MN-SD-14,Open,Toss-Up,Jerry Relph,Aric Putnam,R,Jaden Partlow,,37.440145731808700,R,27014,SD,https://ballotpedia.org/Minnesota_State_Senate_District_14,https://www.relphformnsenate.com/,https://aricformn.com/,
28,KS,KS-HD-14,Open,Toss-Up,Charlotte Esau,Angela Justus Schweller,R,,,37.025834813069,D,20014,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_14,https://charlotteesau.com/,http://angela4ks.com/index.html,
29,TX,TX-HD-85,R,Likely,Phil Stephenson,Joey Cardenas III,R,,,35.646905746106800,D,48085,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_85,http://www.philfortexas.com/,https://ballotpedia.org/Joey_Cardenas_III,
30,KS,KS-HD-102,D,Tilt,John Whitesel,Jason Probst,D,,,34.3583267230543,D,20102,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_102,http://johnforkansas.com/,https://probstforprogress.com/,
31,KS,KS-HD-20,D,Tilt,Jane Dirks,Mari-Lynn Poskin,Open,,,33.7598510860496,D,20020,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_20,http://www.janedirks.com/,https://www.poskin4ks.com/,
32,KS,KS-HD-41,Open,Toss-Up,Pat Proctor,Mike Griswold,Open,,,33.4420771584093,D,20041,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_41,http://PatProctor4KS.com,,
33,TX,TX-HD-64,R,Likely,Lynn Stucky,Angela Brewer,R,,,33.192227258365,D,48064,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_64,http://www.lynnstucky.com/,https://www.angelafortexas.com/,
34,KS,KS-HD-40,R,Tilt,David French,Joana Scholtz,R,,,32.8792277522377,D,20040,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_40,https://ballotpedia.org/David_French_(Kansas),https://www.joanascholtzforkansas.com/,
35,MN,MN-SD-05,R,Tilt,Justin Eichorn,Rita Albrecht,R,"Robyn Smith, Dennis Barsness",,32.3193590134982,R,27005,SD,https://ballotpedia.org/Minnesota_State_Senate_District_5,https://www.justinformnsenate.com/,https://www.ritaforsenate.com/,
36,TX,TX-HD-65,D,Lean,Kronda Thimesch,Michelle Beckley,D,,,32.2926945795963,D,48065,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_65,https://www.krondafortexas.com/,https://www.michellebeckley.com,
37,MN,MN-SD-56,Open,Toss-Up,Dan Hall,Lindsey Port,R,,,32.0934796346168,R,27056,SD,https://ballotpedia.org/Minnesota_State_Senate_District_56,https://www.votedanhall.com/,https://www.lindseyportmn.com/,
38,TX,TX-HD-135,D,Lean,Justin Ray,Jon Rosenthal,D,,,31.2551936546858,D,48135,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_135,https://justinrayfortexas.com/,https://rosenthal4usall.com/,
39,TX,TX-HD-28,R,Likely,Gary Gates,Elizabeth Markowitz,Open,,,30.6908380219232,D,48028,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_28,https://www.gatesfortexas.com/,https://www.eliz4tx.com/,
40,MN,MN-SD-54,D,Lean,Leilani Holmstadt,Karla Bigham,D,,,29.9570957869097,R,27054,SD,https://ballotpedia.org/Minnesota_State_Senate_District_54,https://www.leilaniforsenate.com/,https://www.karlabigham.com/,
41,TX,TX-HD-45,D,Lean,Carrie Isaac,Erin Zwiener,D,,,28.4943870243128,D,48045,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_45,https://www.isaacfortexas.com/,https://www.erinforyall.com/,
42,TX,TX-HD-47,D,Lean,Justin Berry,Vikki Goodwin,D,,,26.4216070540105,D,48047,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_47,https://www.berryfortexas.com/,https://vikkigoodwin.com/,
43,MN,MN-SD-20,R,Lean,Rich Draheim,Jon Olson,R,Jason Hoschette,,26.205893100879800,R,27020,SD,https://ballotpedia.org/Minnesota_State_Senate_District_20,http://www.draheimforsenate.com/,https://jonolsonformnsenate.com/,
44,TX,TX-HD-94,R,Likely,Tony Tinderholt,Alisa Simmons,R,,,25.174896900327400,D,48094,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_94,http://tonytinderholt.com/,https://www.alisasimmonsfortexas.com/,
45,KS,KS-HD-2,R,Lean,Kenneth Collins,Lynn Grant,R,,,25.0435304983677,D,20002,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_2,https://www.kenforkansas.net/,http://www.grantforkansans.com/,
46,KS,KS-HD-18,D,Lean,Cathy Gordon,Cindy Neighbor,D,,,25.000796322885000,D,20018,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_18,http://cathyforksstaterep.com/,https://www.cindyneighbor.com/,
47,KS,KS-HD-49,R,Lean,Megan Lynn,Katie Dixon,R,,,24.8185842613276,D,20049,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_49,http://www.meganlynnforkansas.com,https://www.katieforkansas.com/,
48,TX,TX-HD-113,D,Lean,Will Douglas,Rhetta Andrews Chambers,D,,,24.7766949973583,D,48113,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_113,https://willdouglasfortexas.com/,,
49,KS,KS-HD-79,R,Lean,Cheryl Helmer,Ken White,R,,,24.1849699761473,D,20079,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_79,https://ballotpedia.org/Cheryl_Helmer,https://www.kenwhite4ks.com/,
50,KS,KS-HD-39,R,Lean,Owen Donohue,Les Lampe,R,,,23.936333940591200,D,20039,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_39,,https://www.lampe4kansas.com,
51,KS,KS-HD-16,D,Likely,Rashard Young,Linda Featherston,Open,,,23.5715672435498,D,20016,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_16,https://www.rashardyoung.com/,https://www.linda4kansas.com/,
52,TX,TX-HD-32,R,Likely,Todd Hunter,Eric Holguin,R,,,21.9744933615629,D,48032,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_32,http://electtoddhunter.com/,https://www.ericholguin.com/,
53,CT,CT-HD-119,R,Lean,Kathy Kennedy,Bryan Anderson,R,,,21.465542446393000,R,9119,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_119,https://www.kennedyfor119th.com/,https://www.bryan4us2020.com/,
54,KS,KS-HD-23,D,Likely,Jeff Shull,Susan Ruiz,D,,,21.4478152650162,D,20023,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_23,https://ballotpedia.org/Jeff_Shull,https://susanruizks.com/,
55,CT,CT-HD-37,R,Tilt,Holly Cheeseman,Catherine Steel,R,,,21.287391771604600,R,9037,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_37,https://ballotpedia.org/Holly_Cheeseman,,
56,KS,KS-HD-3,D,Lean,Chuck Smith,Monica Murnan,D,,,21.211810006699100,D,20003,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_3,https://ballotpedia.org/Chuck_Smith_(Kansas),https://www.monicaforkansas.com/,
57,CT,CT-HD-101,Open,Toss-Up,Noreen Kokoruda,John-Michael Parker,R,,,21.163934951605,R,9101,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_101,https://www.re-electnoreenkokoruda.com/,https://www.jmp4ct.com/,
58,CT,CT-HD-34,R,Lean,Irene Haines,Wilson Melon,R,Lance Lusignan,,21.096825578740900,R,9034,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_34,https://ballotpedia.org/Irene_Haines,,
59,KS,KS-HD-111,R,Lean,Barb Wasinger,Eber Phelps,R,,,21.0322570554574,D,20111,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_111,,https://ballotpedia.org/Eber_Phelps,
60,CT,CT-HD-149,R,Tilt,Kimberly Florello,Kathleen Stowe,Open,,,20.8947746279931,R,9149,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_149,,https://kathleenstowe.com/,
61,CT,CT-HD-38,R,Tilt,Kathleen McCarty,Baird Welch-Collins,R,,,20.8124416335523,R,9038,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_38,https://ballotpedia.org/Kathleen_M._McCarty,https://www.bairdfor38.com/,
62,CT,CT-HD-51,R,Lean,Ricky Hayes,Larry Groh Jr.,R,,,20.561931074150400,R,9051,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_51,https://ballotpedia.org/Ricky_Hayes_(Connecticut),,
63,FL,FL-HD-15,R,Lean,Wyman Duggan,Tammyette Thomas,R,,,20.4295850890685,D,12015,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_15,http://wymanduggan.com/,http://tthomasflhouse.com/,
64,KS,KS-HD-26,R,Lean,Adam Thomas,W. Michael Shimeall,R,,,20.426768111967500,D,20026,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_26,http://www.adamthomasforkansas.com/,https://www.shimeall4kansas.com/,
65,MN,MN-SD-25,R,Tilt,David Senjem,Sara Flick,R,,,20.3509334585435,R,27025,SD,https://ballotpedia.org/Minnesota_State_Senate_District_25,https://www.senjemforsenate.com/,https://flickforsenate.com/,
66,CT,CT-HD-74,R,Lean,Stephanie Cummings,Michael DiGiovancarlo,R,,,19.9241832401415,R,9074,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_74,https://votecummings.com/,https://ballotpedia.org/Michael_DiGiovancarlo,
67,CT,CT-HD-106,Open,Toss-Up,Mitch Bolinsky,Rebekah Harriman-Stites,R,,,19.9101934889195,R,9106,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_106,https://www.mitchfornewtown.com/,https://www.rebekahfornewtown.com/,
68,TX,TX-HD-102,D,Likely,Linda Koop,Ana-Maria Ramos,D,,,19.5040572305565,D,48102,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_102,https://www.lindakoop.com/,http://ramos4texas.com/,
69,FL,FL-HD-118,R,Tilt,Anthony Rodriguez,Ricky Junquera,R,,,19.501275175466000,D,12118,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_118,https://anthonyforflorida.com/,https://voteforricky.com/,
70,CT,CT-HD-30,R,Lean,Donna Veach,JoAnn Angelico-Stetson,Open,,,19.3823575939415,R,9030,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_30,https://www.veach2020.com/,https://www.joann2020.com/,
71,MN,MN-SD-48,D,Likely,Jeff Jiang,Steve Cwodzinski,D,,,19.1007907761541,R,27048,SD,https://ballotpedia.org/Minnesota_State_Senate_District_48,https://www.jiangformn.com/,https://www.cwodforsenate.com/,
72,FL,FL-HD-29,R,Tilt,Scott Plakon,Tracey Kagan,R,Juan Rodriguez,,18.9333836103016,D,12029,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_29,https://scottplakon.com/,https://www.kaganforflorida.com/,
73,FL,FL-HD-28,R,Lean,David Smith,Pasha Baker,R,Michael Riccio,,18.930333018013600,D,12028,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_28,https://www.electsmith28.com/,,
74,NC,NC-HD-59,Open,Toss-Up,Jon Hardister,Nicole Quick,R,,,18.902406630379,D,37059,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_59,https://jonhardister.com,https://quickfornc.com/,
75,CT,CT-HD-14,R,Likely,Tom Delnicki,Genevieve Coursey,R,,,18.841311519898800,R,9014,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_14,https://tomdelnicki.net/,http://genevieveforsw.com/,
76,NC,NC-HD-82,Open,Toss-Up,Kristin Baker,Aimy Steele,Open,,,18.7095356325913,D,37082,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_82,https://www.electkristinbaker.com/,https://aimysteele2020.com/,
77,TX,TX-HD-52,D,Likely,Lucio Valdez,James Talarico,D,,,18.6327182856582,D,48052,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_52,https://luciovaldez.com/,https://www.jamestalarico.com/,
78,MN,MN-SD-34,R,Tilt,Warren Limmer,Bonnie Westlin,R,,,18.581932168849900,R,27034,SD,https://ballotpedia.org/Minnesota_State_Senate_District_34,https://ballotpedia.org/Warren_Limmer,http://www.bonniewestlinformnsenate.com/,
79,CT,CT-HD-99,R,Tilt,Joseph Zullo,Dave Yaccarino,R,,,18.415423690620800,R,9099,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_99,https://www.joezullo.com/,,
80,FL,FL-HD-64,Open,Toss-Up,Traci Koster,Jessica Harrington,Open,,,18.364679492580600,D,12064,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_64,,https://www.jessicaharrington.org/,
81,PA,PA-SD-13,R,Lean,Scott Martin,Janet Diaz,R,,,18.2696776531331,R,42013,SD,https://ballotpedia.org/Pennsylvania_State_Senate_District_13,https://www.martin4pa.com/,https://www.janetdiazforpastatesenate.com/,
82,MN,MN-SD-53,D,Likely,Mary Giuliani Stephens,Susan Kent,D,,,18.142757708917400,R,27053,SD,https://ballotpedia.org/Minnesota_State_Senate_District_53,,https://susankentmn.com/,
83,CT,CT-HD-151,R,Likely,Harry Arora,Hector Arzeno,R,,,18.1104995097228,R,9151,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_151,http://www.harryforct.com/,https://electhector.com/,
84,KS,KS-HD-69,R,Tilt,Clarke Sanders,Ryan Holmquist,Open,,,17.9854755300843,D,20069,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_69,https://ballotpedia.org/Clarke_Sanders,https://www.holmquistforkansas.com/,
85,FL,FL-HD-93,R,Tilt,Chip LaMarca,Linda Thompson Gonzalez,R,,,17.8310348872951,D,12093,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_93,https://www.chiplamarca.com/,https://www.lindathompsongonzalez.com/,
86,NC,NC-HD-83,R,Tilt,Larry Pittman,Gail Young,R,,,17.7257661385226,D,37083,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_83,,https://www.gailyoungnc.com/,
87,FL,FL-HD-58,R,Likely,Lawrence McClure,"Cleo ""CL"" Townsend Jr",R,,,17.6158700880023,D,12058,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_58,https://www.electmcclure.com/,,
88,CT,CT-HD-59,R,Likely,Carol Hall,Gerald Calnen,R,,,17.531679848823,R,9059,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_59,https://ballotpedia.org/Carol_Hall,https://calnenforthe59th.com/,
89,MN,MN-SD-37,D,Likely,Brad Sanford,Jerry Newton,D,,,17.4746098349052,R,27037,SD,https://ballotpedia.org/Minnesota_State_Senate_District_37,https://www.sanford4mn.com/,http://www.jerrynewton.us/,
90,NE,NE-SD-21,R,Lean,Mike Hilgers,Brodey Weber,R,,,17.3693972871854,D,31021,SD,,,,
91,NC,NC-HD-1,R,Tilt,Edward C. Goodwin,Emily Bunch Nicholson,R,,,17.0430040963572,D,37001,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_1,,,
92,FL,FL-HD-60,Open,Toss-Up,Jackie Toledo,Julie Jenkins,R,,,17.001143193848700,D,12060,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_60,https://www.jackietoledo.com/,https://votejuliejenkins.com/,
93,CT,CT-HD-132,R,Likely,Brian Farnen,Jennifer Leeper,R,,,16.9381658505947,R,9132,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_132,https://www.farnenforfairfield.com/,https://www.leeperforfairfield.com/,
94,FL,FL-HD-72,R,Tilt,Fiona McFarland,Drake Buckman,Open,,,16.751594500718800,D,12072,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_72,,https://buckmanforfl.com/,
95,NC,NC-HD-63,D,Tilt,Stephen Ross,Ricky Hurtado,R,,,16.5143017051562,D,37063,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_63,,https://rickyhurtadofornc.com/,
96,MN,MN-SD-27,D,Lean,Gene Dornink,Dan Sparks,D,Tyler Becvar,,16.4859113919272,R,27027,SD,https://ballotpedia.org/Minnesota_State_Senate_District_27,https://www.dorninkforsenate.com/,https://ballotpedia.org/Dan_Sparks_(Minnesota),
97,MN,MN-SD-26,R,Lean,Carla Nelson,Aleta Borrund,R,,,16.310660359188800,R,27026,SD,https://ballotpedia.org/Minnesota_State_Senate_District_26,https://www.carlanelson.com/,,
98,FL,FL-HD-83,R,Likely,Toby Overdorf,"Edgar ""EJ"" Bernier",R,,,16.168736031108900,D,12083,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_83,http://tobyforhouse.com/,,
99,NC,NC-HD-24,D,Tilt,Mick Rankin,Linda Cooper-Suggs,D,,,16.125743879609400,D,37024,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_24,https://www.mickfor24.com/,https://ballotpedia.org/Linda_Cooper-Suggs,
100,NC,NC-HD-45,D,Tilt,John Szoka,Frances Vinell Jackson,R,,,15.9748391207133,D,37045,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_45,https://www.szokafornchouse.com,,
101,FL,FL-HD-21,Open,Toss-Up,Chuck Clemons,Kayser Enneking,R,,,15.9217296150616,D,12021,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_21,http://chuckclemons.com/,https://www.ennekingforflorida.com/,
102,NC,NC-HD-9,D,Tilt,Perrin Jones,Brian Farkas,R,,,15.8344889275139,D,37009,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_9,http://perrinjonesmd.com,https://brianfarkas.com/,
103,NC,NC-HD-43,D,Tilt,Diane Wheatley,Kimberly Hardy,Open,,,15.629069319093,D,37043,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_43,https://ballotpedia.org/Diane_Wheatley,https://www.kimberlyhardyfornc.com/,
104,NC,NC-HD-74,D,Tilt,Jeff Zenger,Dan Besse,Open,,,15.461365291240200,D,37074,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_74,https://ballotpedia.org/Jeff_Zenger,https://www.bessefornc.com/,
105,NC,NC-HD-20,R,Tilt,Ted Davis,Adam Ericson,Open,,,15.3055436073574,D,37020,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_20,,https://www.electadamericson.com/,
106,CT,CT-HD-77,D,Tilt,Cara Pavalock-D'Amato,Andrew Rasmussen-Tuller,R,,,15.304446292504100,R,9077,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_77,https://ballotpedia.org/Cara_Pavalock-D'Amato,https://www.andrewforbristol.com/,
107,TX,TX-HD-89,R,Safe,Candy Noble,Sugar Ray Ash,R,,,15.2600347924809,D,48089,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_89,http://votecandynoble.com/,,
108,KS,KS-HD-87,R,Tilt,Susan Oliver Estes,Matt Fox,Open,,,15.233320495695600,D,20087,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_87,,https://mattfoxforkansas.com/,
109,NC,NC-HD-98,D,Tilt,John R. Bradford,Christy Clark,D,,,15.1228426790595,D,37098,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_98,,https://www.christyclarknc.com,
110,FL,FL-HD-26,R,Tilt,Elizabeth Fetterhoff,Patrick Henry,R,,,14.903497725171100,D,12026,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_26,https://elizabethfetterhoff.com/,https://patrickhenry26.com/,
111,FL,FL-HD-115,Open,Toss-Up,Vance Aloupis,Franccesca Cesti-Browne,R,,,14.8330201032899,D,12115,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_115,http://vancealoupis.com/,https://franccescaforflorida.com/,
112,TX,TX-HD-23,R,Safe,Mayes Middleton,Jeff Anotonelli,R,,,14.6104015917145,D,48023,HD,https://ballotpedia.org/Texas_House_of_Representatives_District_23,http://mayesmiddleton.com/,,
113,FL,FL-HD-42,R,Likely,Fred Hawkins,Barbara Cady,Open,Leroy Sanchez,,14.484705157108100,D,12042,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_42,https://www.hawkins4florida.com/,,
114,KS,KS-HD-56,D,Likely,Tim Clothier,Virgil Weigel,D,,,14.450805107516700,D,20056,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_56,https://www.clothierforkansas.com/,http://www.virgilweigelforkshouse.com/,
115,FL,FL-HD-89,R,Tilt,Mike Caruso,Jim Bonfiglio,R,,,14.4247945152575,D,12089,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_89,https://electmikecaruso.com/,https://jimbonfigliofordistrict89.com/,
116,NC,NC-HD-37,D,Tilt,Erin Pare,Sydney Batch,D,Liam Leaver,,13.9746530638823,D,37037,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_37,https://erinfornc.com/,https://sydneybatch.com,
117,MN,MN-SD-11,R,Likely,Jason Rarick,Michelle Lee,R,,,13.883974346524300,R,27011,SD,https://ballotpedia.org/Minnesota_State_Senate_District_11,https://www.jasonrarick.com/,http://www.michellelee.org/,
118,MN,MN-SD-57,D,Likely,Jose W. Jimenez,Greg Clausen,D,,,13.7739457581486,R,27057,SD,https://ballotpedia.org/Minnesota_State_Senate_District_57,,http://clausenforsenate.com/,
119,KS,KS-HD-119,R,Lean,Bradley Ralph,Jan Scoggins,R,,,13.5936382566719,D,20119,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_119,https://www.ralphfordc.com/,https://ballotpedia.org/Jan_Scoggins,
120,CT,CT-HD-117,R,Likely,Charles Ferraro,Tony Sutton,R,,,13.5358259214558,R,9117,HD,https://ballotpedia.org/Connecticut_House_of_Representatives_District_117,https://www.reelectferraro.com/,https://ballotpedia.org/Tony_Sutton_(Connecticut),
121,FL,FL-HD-67,R,Likely,Chris Latvala,Dawn Douglas,R,,,13.364346504087000,D,12067,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_67,,https://electdawndouglas.com/,
122,FL,FL-HD-71,R,Likely,Will Robinson,Andy Mele,R,,,13.2990894385163,D,12071,HD,https://ballotpedia.org/Florida_House_of_Representatives_District_71,http://robinsonforflorida.com/,https://www.andymeleforflhouse.com/,
